	id	relative time	ip src	ip dest	src port	dst_port	epoch time	interval
0	2	0.029376999999999997	192.168.11.248	192.168.11.111	2404	56693	1544717749.941172	0.029376999999999997
1	3	0.029617	192.168.11.111	192.168.11.248	56693	2404	1544717749.9414117	0.00023999999999999998
2	4	0.031586	192.168.11.248	192.168.11.111	2404	56693	1544717749.943381	0.0019690000000000003
3	5	0.062488	192.168.11.111	192.168.11.248	56693	2404	1544717749.974283	0.030902
4	6	0.063326	192.168.11.248	192.168.11.111	2404	56693	1544717749.975121	0.0008380000000000001
5	7	0.063327	192.168.11.248	192.168.11.111	2404	56693	1544717749.975122	1e-06
6	9	0.063705	192.168.11.248	192.168.11.111	2404	56693	1544717749.9755	0.00037799999999999997
7	10	0.063705	192.168.11.248	192.168.11.111	2404	56693	1544717749.9755	0.0
8	11	0.063705	192.168.11.248	192.168.11.111	2404	56693	1544717749.9755	0.0
9	13	0.064057	192.168.11.248	192.168.11.111	2404	56693	1544717749.9758523	0.000352
10	14	0.064527	192.168.11.248	192.168.11.111	2404	56693	1544717749.976322	0.00047000000000000004
11	16	0.064873	192.168.11.248	192.168.11.111	2404	56693	1544717749.9766681	0.000346
12	17	0.064903	192.168.11.111	192.168.11.248	56693	2404	1544717749.976698	2.9999999999999997e-05
13	18	0.065596	192.168.11.248	192.168.11.111	2404	56693	1544717749.977391	0.0006929999999999999
14	20	0.265165	192.168.11.248	192.168.11.111	2404	56693	1544717750.17696	0.199569
15	21	0.265559	192.168.11.111	192.168.11.248	56693	2404	1544717750.1773539	0.000394
16	22	0.266099	192.168.11.111	192.168.11.248	56693	2404	1544717750.177894	0.00054
17	24	0.266461	192.168.11.248	192.168.11.111	2404	56693	1544717750.178256	0.000362
18	25	0.26666100000000004	192.168.11.111	192.168.11.248	56693	2404	1544717750.178456	0.0002
19	26	0.267018	192.168.11.248	192.168.11.111	2404	56693	1544717750.1788132	0.000357
20	28	0.8743989999999999	192.168.11.248	192.168.11.111	2404	56693	1544717750.7861938	0.6073810000000001
21	30	3.87544	192.168.11.248	192.168.11.111	2404	56693	1544717753.7872348	3.001041
22	32	5.350692	192.168.11.111	192.168.11.248	56693	2404	1544717755.262487	1.475252
23	33	5.351392	192.168.11.248	192.168.11.111	2404	56693	1544717755.263187	0.0007
24	34	5.351623	192.168.11.111	192.168.11.248	56693	2404	1544717755.263418	0.000231
25	35	5.351943	192.168.11.248	192.168.11.111	2404	56693	1544717755.263738	0.00032
26	36	5.413435	192.168.11.111	192.168.11.248	56693	2404	1544717755.3252301	0.061492
27	37	5.414301	192.168.11.248	192.168.11.111	2404	56693	1544717755.326096	0.000866
28	38	5.414301999999999	192.168.11.248	192.168.11.111	2404	56693	1544717755.326097	1e-06
29	40	5.414621	192.168.11.248	192.168.11.111	2404	56693	1544717755.326416	0.000319
30	41	5.4146220000000005	192.168.11.248	192.168.11.111	2404	56693	1544717755.326417	1e-06
31	43	5.41496	192.168.11.248	192.168.11.111	2404	56693	1544717755.3267548	0.000338
32	44	5.4152949999999995	192.168.11.248	192.168.11.111	2404	56693	1544717755.32709	0.000335
33	45	5.415296	192.168.11.248	192.168.11.111	2404	56693	1544717755.327091	1e-06
34	47	5.415646	192.168.11.248	192.168.11.111	2404	56693	1544717755.327441	0.00035
35	48	5.415773000000001	192.168.11.111	192.168.11.248	56693	2404	1544717755.327568	0.000127
36	49	5.416493	192.168.11.248	192.168.11.111	2404	56693	1544717755.328288	0.00072
37	51	5.631501999999999	192.168.11.248	192.168.11.111	2404	56693	1544717755.543297	0.215009
38	52	5.631889	192.168.11.111	192.168.11.248	56693	2404	1544717755.5436838	0.00038700000000000003
39	53	5.632405	192.168.11.111	192.168.11.248	56693	2404	1544717755.5442	0.000516
40	55	5.632813	192.168.11.248	192.168.11.111	2404	56693	1544717755.544608	0.000408
41	56	5.633017	192.168.11.111	192.168.11.248	56693	2404	1544717755.5448122	0.000204
42	57	5.633331	192.168.11.248	192.168.11.111	2404	56693	1544717755.545126	0.000314
43	59	8.877148	192.168.11.248	192.168.11.111	2404	56693	1544717758.788943	3.243817
44	61	11.48896	192.168.11.111	192.168.11.248	56693	2404	1544717761.400755	2.611812
45	62	11.554056	192.168.11.248	192.168.11.111	2404	56693	1544717761.4658508	0.065096
46	63	11.554314999999999	192.168.11.111	192.168.11.248	56693	2404	1544717761.46611	0.000259
47	64	11.554652	192.168.11.248	192.168.11.111	2404	56693	1544717761.466447	0.000337
48	65	11.606183999999999	192.168.11.111	192.168.11.248	56693	2404	1544717761.517979	0.05153200000000001
49	66	11.607305	192.168.11.248	192.168.11.111	2404	56693	1544717761.5191002	0.001121
50	67	11.607307	192.168.11.248	192.168.11.111	2404	56693	1544717761.519102	2e-06
51	69	11.607614	192.168.11.248	192.168.11.111	2404	56693	1544717761.519409	0.000307
52	70	11.607615	192.168.11.248	192.168.11.111	2404	56693	1544717761.51941	1e-06
53	72	11.607949000000001	192.168.11.248	192.168.11.111	2404	56693	1544717761.519744	0.000334
54	73	11.608309	192.168.11.248	192.168.11.111	2404	56693	1544717761.520104	0.00036
55	74	11.608309	192.168.11.248	192.168.11.111	2404	56693	1544717761.520104	0.0
56	76	11.608658	192.168.11.248	192.168.11.111	2404	56693	1544717761.5204532	0.000349
57	77	11.608763	192.168.11.111	192.168.11.248	56693	2404	1544717761.520558	0.000105
58	78	11.609482	192.168.11.248	192.168.11.111	2404	56693	1544717761.5212772	0.000719
59	80	11.824531	192.168.11.248	192.168.11.111	2404	56693	1544717761.736326	0.215049
60	81	11.824908	192.168.11.111	192.168.11.248	56693	2404	1544717761.7367032	0.000377
61	82	11.825431	192.168.11.111	192.168.11.248	56693	2404	1544717761.737226	0.000523
62	84	11.825796	192.168.11.248	192.168.11.111	2404	56693	1544717761.737591	0.000365
63	85	11.825998	192.168.11.111	192.168.11.248	56693	2404	1544717761.737793	0.000202
64	86	11.826347	192.168.11.248	192.168.11.111	2404	56693	1544717761.738142	0.000349
65	87	11.917622999999999	192.168.11.111	192.168.11.248	56693	2404	1544717761.829418	0.091276
66	88	11.917961	192.168.11.248	192.168.11.111	2404	56693	1544717761.8297563	0.000338
67	89	11.918173	192.168.11.111	192.168.11.248	56693	2404	1544717761.829968	0.000212
68	90	11.918501	192.168.11.248	192.168.11.111	2404	56693	1544717761.830296	0.000328
69	91	11.980991	192.168.11.111	192.168.11.248	56693	2404	1544717761.892786	0.06249
70	92	11.981835	192.168.11.248	192.168.11.111	2404	56693	1544717761.89363	0.0008439999999999999
71	93	11.981836	192.168.11.248	192.168.11.111	2404	56693	1544717761.893631	1e-06
72	94	11.981836999999999	192.168.11.248	192.168.11.111	2404	56693	1544717761.893632	1e-06
73	96	11.982183000000001	192.168.11.248	192.168.11.111	2404	56693	1544717761.8939779	0.000346
74	97	11.982184	192.168.11.248	192.168.11.111	2404	56693	1544717761.8939788	1e-06
75	99	11.982552	192.168.11.248	192.168.11.111	2404	56693	1544717761.894347	0.000368
76	100	11.982983	192.168.11.248	192.168.11.111	2404	56693	1544717761.894778	0.00043099999999999996
77	102	11.983343	192.168.11.248	192.168.11.111	2404	56693	1544717761.895138	0.00036
78	103	11.983587	192.168.11.111	192.168.11.248	56693	2404	1544717761.8953822	0.000244
79	104	11.984301	192.168.11.248	192.168.11.111	2404	56693	1544717761.896096	0.000714
80	106	12.18339	192.168.11.248	192.168.11.111	2404	56693	1544717762.095185	0.19908900000000002
81	107	12.183892	192.168.11.111	192.168.11.248	56693	2404	1544717762.0956872	0.000502
82	108	12.184528	192.168.11.111	192.168.11.248	56693	2404	1544717762.0963228	0.0006360000000000001
83	110	12.184906	192.168.11.248	192.168.11.111	2404	56693	1544717762.0967011	0.00037799999999999997
84	111	12.185125	192.168.11.111	192.168.11.248	56693	2404	1544717762.09692	0.00021899999999999998
85	112	12.185518	192.168.11.248	192.168.11.111	2404	56693	1544717762.097313	0.000393
86	113	12.298539	192.168.11.111	192.168.11.248	56693	2404	1544717762.210334	0.11302100000000001
87	114	12.299182	192.168.11.248	192.168.11.111	2404	56693	1544717762.210977	0.000643
88	115	12.299324	192.168.11.111	192.168.11.248	56693	2404	1544717762.211119	0.00014199999999999998
89	116	12.299623	192.168.11.248	192.168.11.111	2404	56693	1544717762.211418	0.000299
90	117	12.301074	192.168.11.111	192.168.11.248	56693	2404	1544717762.2128692	0.001451
91	118	12.301874	192.168.11.248	192.168.11.111	2404	56693	1544717762.213669	0.0008
92	119	12.301874	192.168.11.248	192.168.11.111	2404	56693	1544717762.213669	0.0
93	121	12.3022	192.168.11.248	192.168.11.111	2404	56693	1544717762.213995	0.00032599999999999996
94	122	12.302201	192.168.11.248	192.168.11.111	2404	56693	1544717762.2139962	1e-06
95	124	12.302555	192.168.11.248	192.168.11.111	2404	56693	1544717762.21435	0.000354
96	125	12.302556	192.168.11.248	192.168.11.111	2404	56693	1544717762.214351	1e-06
97	127	12.302921000000001	192.168.11.248	192.168.11.111	2404	56693	1544717762.2147162	0.000365
98	128	12.304677	192.168.11.111	192.168.11.248	56693	2404	1544717762.216472	0.001756
99	129	12.305011	192.168.11.248	192.168.11.111	2404	56693	1544717762.2168062	0.000334
100	130	12.305452	192.168.11.248	192.168.11.111	2404	56693	1544717762.217247	0.00044100000000000004
101	132	12.306131	192.168.11.248	192.168.11.111	2404	56693	1544717762.217926	0.000679
102	133	12.307907	192.168.11.111	192.168.11.248	56693	2404	1544717762.219702	0.0017760000000000002
103	134	12.308672999999999	192.168.11.111	192.168.11.248	56693	2404	1544717762.2204678	0.000766
